time,event,target,perpetrator,itype raw,institution,discipline,oldq,response,punishment,career,mental,life,comments,perpgender,oldlabel,someresponse,gendersquash,oldcleandiscipline,coarsediscipline,cleantarget,coarsetarget,itype,oldinstitution,label,cleaninstitution,cleandiscipline
3/17/2018 12:24:20,"Hotshot, unmarried assistant professor, who was carrying the department funding/publications-wise, was rumored to crash student parties, do kegstands, and sleep at them overnight. His Grad students and undergraduates spread a story within the department alleging that he was carrying on a sexual relationship with a beginner graduate student in his group, directly under his supervision. After some time, when she broke up with him, they said he got angry and did everything he could to make life in his group unbearable for her and to end her career at Tulane. She transferred to another school and his career went onwards and upwards. His group members told me he took her name the manuscript drafts she had contributed to and ordered the other students in the group to re-do her experiments and replace the data points she had collected so she would have no claim to the papers. It was like she never had existed. After Hurricane Katrina he changed universities.",Student,Professor,Elite Institution/Ivy League,Tulane University,Engineering,,Not aware of any ,Not aware of any,The harassed student was ran out of town and had to restart her PhD elsewhere from scratch,not known,not known,,Man,43176516902,yes,Other,Engineering,Engineering,Student,Student,Elite Institution/Ivy League,Tulane ,2,Tulane,Engineering
3/17/2018 11:05:04,"Various. 1. Endless starring at my breasts and not my face when speaking to me or listening to me speak. 2. Commenting on my appearance (e.g. woman faculty member said to me ""Oh, you will be fine, being pretty will get you far"") and / or not taking me seriously because of my appearance --e.g. once was publicly questioned my ability to gather data in my intended field site because a junior man said I was too attractive for people to take me seriously. 3. When I was a PhD student some post docs started a rumor that I was sleeping with my advisor (I was not, did not, would not, do that). They talked about it so widely that it got back to all of my committee and everyone else in my graduate program. ",PhD / MA ,Mostly junior faculty members and post docs ,"More Than One Institution (feel free to elaborate in ""Comments"")",,,,,,,,,,Various incidents with people of different genders,43176461856,no,Other,,,Phd / Ma ,Phd,Multiple,,3,,
3/17/2018 11:03:46,Junior Prof cornered me in the elevator at the AAA meetings in Atlanta in 1994. He rubbed his penis against me and wouldn't let me out of the elevator. I got out and avoided him the rest of the conference. It was my first AAA. ,MA student,Junior (untenured) prof,,American Anthropological Association,Anthropology ,,,,,,,,Man,43176460948,no,Other,Anthropology ,Anthropology,Ma Student,Ma,,American Anthropological Association,4,,Anthropology
3/17/2018 11:02:49,"Senior Prof put his hands on my back as I was sitting at a lab computer. I shot up, turned around, and said ""don't touch me"" and he grabbed my shoulders. I pushed him as hard as I could across the room. ",PhD student,Senior Faculty,Other R1,Rutgers,Anthropology,,I didn't report this ,,,,,,Man,43176460291,yes,Other,Anthropology,Anthropology,Phd Student,Phd,Other R1,Rutgers,5,Rutgers,Anthropology
3/17/2018 11:01:59,"Senior Prof asked me to go ""watch a movie"" with him at his home when his wife was away. He put his hands on my shoulders when he asked. I said ""no"". He was my on my MA committee. Soon after that, the day of my thesis defense, without notice, he dropped himself from my committee. He said that he didn't respect the work and could not be on the committee. If another senior professor had not been willing to step up and stand in for the harasser I would have not been able to graduate. I was not protected by my other committee member and main advisor, who was a junior male. ",MA Student,Senior Faculty,Other R1,UGA,Anthropology ,,I didn't tell anyone except my other advisors ,,,,,,Man,43176459706,yes,Other,Anthropology ,Anthropology,Ma Student,Ma,Other R1,UGA,6,UC San Diego,Anthropology
3/16/2018 14:29:22,"The dean at my university, during a department meeting, said to the female faculty In general, “Didn’t I see you down on 4th St. last night?” That was where the prostitutes in our city congregated. (He was also known for “joking” about faculty members’ Judaism, African American dark skin color, and Japanese ancestry. ",Assistant professor,Dean,R2,University of Nevada -Reno ,Education,,"None, not reported, everyone afraid of him","None at the time, faculty got him removed from position several years later",None,Sense of intimidation,I lost my job there because of him but not related to sexual harassment,,Man,43175603732,no,Other,Education,Education,Assistant Professor,Assistant,R2,University of Nevada -Reno ,7,Nebraska,Education
3/13/2018 11:17:41,"My friend told me the harasser engaged in aggressive courting, heavy charm & manipulation immediately after he met her.  Then he became emotionally abusive & would psychologically torture her.  She thought this was his cycle. He would brag about having sex on his desk w/grad students.  She said he has a 'reputation.'  I saw his picture online. Meh. ",She was Adjunct Prof,Tenured (?) Prof,Other R1,Indiana university,He is the IU Historian. Forget which dept he is in.  This cozy rltp w/the admin might allow him to get away w/his sexually & emotionally exploitative behavior.,,None. His 'reputation' for creeping on women & emotionally toying w/them was widely known but never addressed. ,,Not sure.,"She was very emotionally disturbed by the incident. She couldn't handle his emotionally abusive behavior in an aggressive, forthright way for fear of retribution to her own career. ",Far more leery of male academics now. ,,Man,43172470614,no,Other,He Is The Iu Historian. Forget Which Dept He Is In.  This Cozy Rltp W/The Admin Might Allow Him To Get Away W/His Sexually & Emotionally Exploitative Behavior.,He,She Was Adjunct Prof,She,Other R1,Indiana university,8,Indiana,Computer Science
3/12/2018 22:08:17,"Berkeley is well-known for having a sexual harassment/assault issue, and the Math Department in particular. Heard many stories from women who said they quit this department in particular due to the sexual harassment. The general sentiment is that female undergraduates/graduate students are expected to endure the harassment and submit to the sexual advances of male professors (i.e. non-consensual). ",,,Elite Institution/Ivy League,Berkeley ,Mathematics,,None-Widely known but no disciplinary action,None,,,,,Man,43171922415,no,Other,Mathematics,Mathematics,,,Elite Institution/Ivy League,Berkeley ,9,UC Berkeley,Mathematics
3/11/2018 20:28:14,"A department chair had a relationship with a newly hired professor. When it went awry, he retaliated by falsely altering her personnel files, among other things (according to her lawsuit against him). Graduate and undergraduate students were caught in the middle, with some called upon to make statements for the lawsuit, and one graduate student leaving academia due to the fallout. To complicate matters, the chair's ex-wife and ex-lover were also faculty members.",M.A. student,My department chair and class professor. He wrote me a recommendation letter for a doctoral program.,Other R1,,Humanities,,None (he was backed by the board). She won her civil lawsuit but left academia.,"Very few, in fact a major conference celebrated his career.","I had to walk on eggshells as an M.A. student to navigate the faculty tensions, so a department's overall health became my priority in choosing my Ph.D. program. ","It shook me up, especially because it resulted in two women leaving academia.","I've been fortunate to have had job choices in academia, and in each case the overall ""health"" of a work environment has been key to my decision.",,Man,43170852943,no,Other,Humanities,Humanities,M.A. Student,M,Other R1,,10,,Humanities
3/11/2018 19:46:35,"One colleague made jokes about other female colleagues body shapes and make statement about ""women should bear many children even if they have full-time jobs, although nowadays it is none of my business,"" ""there is no need for maternity leave for females. My mom went back to work after she gave a birth to me,"" and female professors are emotional and not research productive. He also made a threat that there is nothing I can do even if he made such statements because he is already tenured. ",Assistant Professor,Associate Professor in the same department (recently promoted to the full professor),Small Liberal Arts College,,Psychology,,"It looked more like a ""relational bullying"" rather than ""sexual harassment,"" so I first ignored it, but when situations became escalated, I verbally reported to the Dean. He said the person has had some ""personality"" issue, but at the same time he also said there is nothing much I can do because that person is ""tenured.""","Because the person is one of the few clinical psychologists and gets along with the admin, he was promoted to the full professor without almost any publications. Many people have experienced similar issues here and there, but they are afraid of speaking out, too.","Nothing specifics have been done on my career directly, however, it is possible that the colleague can do anything since he is practically a senior faculty in the same major.","It has been very stressful both physically and emotionally. Since his office is close to mine, he is doing his best to ""give the hard time"" to me by making other junior faculty members on his side. He is pretty much against almost every work I have done and makes a fun of my work in front of colleagues during the department meetings. ","I'm now currently the fourth year, tenure-track faculty member. One good thing is, since the colleague is pretty much well-known on bullying others, other colleagues have been supportive. The Dean also recommended me to go up for the early-tenure review (which will happen in this December). However, even if I luckily get the tenure, working with the colleague will be extremely difficult, so I'm wondering whether it is a good time for me to find another job (In fact, I already applied one).","Thank you for doing this survey, Karen. I wonder whether my response can belong to ""sexual harassment"" or not, but I'm pretty sure many will experience some sort of ""relational"" bullying like me and have a hard time to report because of its nature. I am trying to get some professional advice here and there, so if you can provide me some tips, would you mind giving me the email to ****? Thank you!",Man,43170824022,yes,Other,Psychology,Psychology,Assistant Professor,Assistant,Small Liberal Arts College,,11,,Psychology
